problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3
estimathon,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
dirigent,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
baltazar,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
bomboni,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
skrivaca,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
kalendar,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
diskurs,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
logaritam,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
slasticarnica,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
zastave,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
7krokods,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
zrinka,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
bojanje,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
mreza,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
vrsta,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
tramvaji,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
ekspert,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
lampice,RUNTIME_ERROR,0,0.00%,2.38%,0.120,0.00390625,,0,0,0,0
prijateljice,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
kruhologija,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
desniklik,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
cokolade,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
berilij,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
iksevi,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
neboderi,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
TOTAL,,0,,0.10%,,,0.00%,,,,
