problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,39,0,0,0
dirigent,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
baltazar,RUNTIME_ERROR,0,0.00%,0.00%,0.090,1.5546875,,0,0,0,0,0
bomboni,ACCEPTED,110,100.00%,100.00%,0.500,192.95703125,,13,17,33,47,0
skrivaca,RUNTIME_ERROR,0,0.00%,0.00%,0.130,16.51953125,,0,0,0,0,0
kalendar,ACCEPTED,50,100.00%,100.00%,0.000,0,,7,19,24,0,0
diskurs,TIME_LIMIT_EXCEEDED,20,28.57%,22.00%,2.410,2.07421875,,20,0,0,0,0
logaritam,RUNTIME_ERROR,0,0.00%,0.00%,0.040,0.00390625,,0,0,0,0,0
slasticarnica,RUNTIME_ERROR,0,0.00%,42.50%,0.540,121.6953125,,0,0,0,0,0
zastave,RUNTIME_ERROR,0,0.00%,23.81%,0.050,2.07421875,,0,0,0,0,0
7krokods,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
zrinka,RUNTIME_ERROR,20,28.57%,20.00%,0.050,0,,0,20,0,0,0
bojanje,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
mreza,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
vrsta,TIME_LIMIT_EXCEEDED,19,17.27%,20.00%,1.210,3.359375,,19,0,0,0,0
tramvaji,ACCEPTED,50,100.00%,100.00%,0.050,0.00390625,,12,13,25,0,0
ekspert,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
lampice,RUNTIME_ERROR,0,0.00%,2.38%,0.110,6.96484375,,0,0,0,0,0
prijateljice,RUNTIME_ERROR,0,0.00%,9.33%,0.000,0,,0,0,0,0,0
kruhologija,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
desniklik,ACCEPTED,50,100.00%,100.00%,0.000,0,,5,15,30,0,0
cokolade,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
berilij,RUNTIME_ERROR,0,0.00%,2.27%,0.110,8.4375,,0,0,0,0,0
iksevi,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
neboderi,TIME_LIMIT_EXCEEDED,33,30.00%,38.89%,2.960,5.109375,,11,22,0,0,0
TOTAL,,402,,27.25%,,,20.00%,,,,,
