problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,ACCEPTED,50,100.00%,100.00%,0.050,0,,11,39,0,0,0
dirigent,TIME_LIMIT_EXCEEDED,35,50.00%,60.71%,1.210,0.00390625,,15,20,0,0,0
baltazar,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
bomboni,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
skrivaca,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
kalendar,RUNTIME_ERROR,26,52.00%,64.71%,0.050,0,,7,19,0,0,0
diskurs,TIME_LIMIT_EXCEEDED,0,0.00%,2.00%,2.410,5.890625,,0,0,0,0,0
logaritam,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
slasticarnica,RUNTIME_ERROR,0,0.00%,2.50%,0.090,2.84765625,,0,0,0,0,0
zastave,RUNTIME_ERROR,0,0.00%,23.81%,0.080,2.1328125,,0,0,0,0,0
7krokods,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
zrinka,RUNTIME_ERROR,0,0.00%,0.00%,0.040,0.00390625,,0,0,0,0,0
bojanje,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
mreza,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
vrsta,TIME_LIMIT_EXCEEDED,19,17.27%,20.00%,1.210,2.84765625,,19,0,0,0,0
tramvaji,ACCEPTED,50,100.00%,100.00%,0.050,0.00390625,,12,13,25,0,0
ekspert,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
lampice,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
prijateljice,ACCEPTED,110,100.00%,100.00%,0.100,7.9609375,,20,30,60,0,0
kruhologija,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
desniklik,ACCEPTED,50,100.00%,100.00%,0.000,0,,5,15,30,0,0
berilij,RUNTIME_ERROR,0,0.00%,2.27%,0.110,9.03125,,0,0,0,0,0
iksevi,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
neboderi,TIME_LIMIT_EXCEEDED,38,34.55%,38.89%,2.980,5.2265625,,11,0,27,0,0
TOTAL,,378,,25.62%,,,16.67%,,,,,
