problem,model,status,score,%test passed,time,memory
2024-sp_Fish_3,DeepSeek-R1-Distill-Llama-8B,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Ski_2,DeepSeek-R1-Distill-Llama-8B,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Spy_3,DeepSeek-R1-Distill-Llama-8B,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Board_Game,DeepSeek-R1-Distill-Llama-8B,RUNTIME_ERROR,3,8.07%,0.190,4.390625
2024-sp_Tricolor_Lights,DeepSeek-R1-Distill-Llama-8B,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Growing_Vegetables_is_Fun_5,DeepSeek-R1-Distill-Llama-8B,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Card_Collection,DeepSeek-R1-Distill-Llama-8B,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_JOI_Tour,DeepSeek-R1-Distill-Llama-8B,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Tower,DeepSeek-R1-Distill-Llama-8B,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Escape_Route_2,DeepSeek-R1-Distill-Llama-8B,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Island_Hopping,DeepSeek-R1-Distill-Llama-8B,COMPILATION_ERROR,0,0.00%,0.000,0
2024-sp_Table_Tennis,DeepSeek-R1-Distill-Llama-8B,RUNTIME_ERROR,0,0.46%,0.120,0
