problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
game,RUNTIME_ERROR,0,0.00%,10.81%,0.150,3.8671875,,0,0,0,0,0,0,0,0,0,0
lexgcd,RUNTIME_ERROR,0,0.00%,7.38%,0.110,2.5859375,,0,0,0,0,0,0,0,0,0,0
ones,WRONG_ANSWER,25,25.00%,0.00%,0.110,1.94921875,,4.70929,4.06906,3.35974,2.8991499999999997,2.49801,2.0357600000000002,1.72931,1.45111,1.1148099999999999,0.87959
travel,TIME_LIMIT_EXCEEDED,20,20.00%,29.41%,1.240,33.78515625,,10,10,0,0,0,0,0,0,0,0
aquarelle,RUNTIME_ERROR,0,0.00%,42.15%,0.000,0,,0,0,0,0,0,0,0,0,0,0
parentheses,ACCEPTED,100,100.00%,100.00%,0.180,34.06640625,,0,5,10,10,15,15,45,0,0,0
tolls,ACCEPTED,100,100.00%,100.00%,0.160,6.2265625,,0,5,5,10,20,10,20,30,0,0
twins,RUNTIME_ERROR,40,40.00%,35.88%,0.100,3.08984375,,40,0,0,0,0,0,0,0,0,0
walk,RUNTIME_ERROR,0,0.00%,0.00%,0.100,3.5625,,0,0,0,0,0,0,0,0,0,0
xy,RUNTIME_ERROR,0,0.00%,2.86%,0.110,3.26953125,,0,0,0,0,0,0,0,0,0,0
TOTAL,,285,,29.86%,,,18.18%,,,,,,,,,,
