problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,39,0,0,0
dirigent,TIME_LIMIT_EXCEEDED,35,50.00%,60.71%,1.200,1.8125,,15,20,0,0,0
baltazar,TIME_LIMIT_EXCEEDED,0,0.00%,25.00%,4.810,20.1875,,0,0,0,0,0
bomboni,MEMORY_LIMIT_EXCEEDED,63,57.27%,60.00%,0.280,612.3125,,13,17,33,0,0
skrivaca,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
kalendar,RUNTIME_ERROR,19,38.00%,47.06%,0.000,0,,0,19,0,0,0
diskurs,TIME_LIMIT_EXCEEDED,20,28.57%,22.00%,2.410,2.07421875,,20,0,0,0,0
logaritam,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
slasticarnica,RUNTIME_ERROR,0,0.00%,5.00%,0.060,2.84375,,0,0,0,0,0
zastave,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
7krokods,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
zrinka,RUNTIME_ERROR,20,28.57%,20.00%,0.040,0.00390625,,0,20,0,0,0
bojanje,RUNTIME_ERROR,0,0.00%,6.67%,0.000,0,,0,0,0,0,0
mreza,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
vrsta,TIME_LIMIT_EXCEEDED,19,17.27%,20.00%,1.230,1.8671875,,19,0,0,0,0
tramvaji,ACCEPTED,50,100.00%,100.00%,0.050,0.00390625,,12,13,25,0,0
ekspert,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
lampice,RUNTIME_ERROR,0,0.00%,2.38%,0.170,13.671875,,0,0,0,0,0
prijateljice,RUNTIME_ERROR,0,0.00%,10.67%,0.000,0,,0,0,0,0,0
kruhologija,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
desniklik,ACCEPTED,50,100.00%,100.00%,0.000,0,,5,15,30,0,0
cokolade,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,1.220,1.81640625,,0,0,0,0,0
berilij,RUNTIME_ERROR,0,0.00%,2.27%,0.120,10.921875,,0,0,0,0,0
iksevi,RUNTIME_ERROR,0,0.00%,0.00%,0.190,0.00390625,,0,0,0,0,0
neboderi,TIME_LIMIT_EXCEEDED,11,10.00%,18.52%,2.980,5.16796875,,11,0,0,0,0
TOTAL,,337,,24.01%,,,12.00%,,,,,
