problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,39,0,0,0
dirigent,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
baltazar,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
bomboni,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
skrivaca,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
kalendar,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
diskurs,TIME_LIMIT_EXCEEDED,20,28.57%,22.00%,2.410,2.07421875,,20,0,0,0,0
logaritam,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
slasticarnica,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
zastave,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
7krokods,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
zrinka,RUNTIME_ERROR,20,28.57%,20.00%,0.050,0.00390625,,0,20,0,0,0
bojanje,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
mreza,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
vrsta,TIME_LIMIT_EXCEEDED,19,17.27%,20.00%,1.220,423.3359375,,19,0,0,0,0
tramvaji,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
ekspert,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
lampice,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
prijateljice,RUNTIME_ERROR,0,0.00%,8.00%,0.000,0,,0,0,0,0,0
kruhologija,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
desniklik,ACCEPTED,50,100.00%,100.00%,0.000,0,,5,15,30,0,0
cokolade,RUNTIME_ERROR,0,0.00%,0.00%,0.060,3.62109375,,0,0,0,0,0
berilij,RUNTIME_ERROR,0,0.00%,2.27%,0.090,2.84375,,0,0,0,0,0
iksevi,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
neboderi,TIME_LIMIT_EXCEEDED,11,10.00%,20.37%,2.980,5.28515625,,11,0,0,0,0
TOTAL,,170,,11.71%,,,8.00%,,,,,
