problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3
estimathon,ACCEPTED,50,100.00%,0.000,0,,11,39,0,0
dirigent,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
baltazar,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
bomboni,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
skrivaca,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
kalendar,ACCEPTED,50,100.00%,0.000,0,,7,19,24,0
diskurs,RUNTIME_ERROR,0,0.00%,0.080,4.87890625,,0,0,0,0
logaritam,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
slasticarnica,RUNTIME_ERROR,0,2.50%,0.060,0.00390625,,0,0,0,0
zastave,RUNTIME_ERROR,0,15.87%,0.000,0,,0,0,0,0
7krokods,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
zrinka,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
bojanje,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
mreza,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
vrsta,RUNTIME_ERROR,45,40.00%,0.380,4.75,,19,26,0,0
tramvaji,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
ekspert,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
lampice,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
prijateljice,ACCEPTED,110,100.00%,0.090,13.28515625,,20,30,60,0
kruhologija,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
desniklik,ACCEPTED,50,100.00%,0.060,0,,5,15,30,0
cokolade,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
berilij,RUNTIME_ERROR,0,2.27%,0.210,10.0625,,0,0,0,0
iksevi,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
neboderi,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0
TOTAL,,305,18.43%,,,16.00%,,,,
