problem,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8
2023-open-t1_Ancient_Machine_2,0,-1,-1,-1,-1,-1,-1,-1
2023-open-t2_Cell_Automaton,0,0,0,0,0,0,0,-1
2023-open-t3_Garden,0,0,0,0,0,0,-1,-1
2023-sp_Two_Currencies,0,0,0,0,-1,-1,-1,-1
2023-sp_Festivals_in_JOI_Kingdom_2,0,0,0,0,0,0,-1,-1
2023-sp_Passport,0,0,0,0,0,-1,-1,-1
2023-sp_Council,0,0,0,0,0,0,0,-1
2023-sp_Mizuyokan_2,0,0,0,0,0,0,-1,-1
2023-sp_Chorus,0,0,0,0,0,-1,-1,-1
2023-sp_Cookies,0,0,0,0,0,0,-1,-1
2023-ho-t1_Stone_Arranging_2,0,0,0,-1,-1,-1,-1,-1
2023-ho-t2_Advertisement_2,1,0,0,0,-1,-1,-1,-1
2023-ho-t3_Maze,0,0,0,0,0,0,0,0
2023-ho-t4_Cat_Exercise,0,0,0,0,0,0,0,-1
2023-ho-t5_Modern_Machine,1,0,0,0,0,0,0,-1
