problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,ACCEPTED,50,100.00%,0.000,0,,11,39,0,0,0
dirigent,TIME_LIMIT_EXCEEDED,15,53.57%,1.140,1.6171875,,15,0,0,0,0
baltazar,TIME_LIMIT_EXCEEDED,15,40.62%,4.810,24.52734375,,15,0,0,0,0
bomboni,MEMORY_LIMIT_EXCEEDED,63,60.00%,0.300,507.59375,,13,17,33,0,0
skrivaca,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
kalendar,RUNTIME_ERROR,19,47.06%,0.050,0,,0,19,0,0,0
diskurs,TIME_LIMIT_EXCEEDED,20,22.00%,2.210,2.07421875,,20,0,0,0,0
logaritam,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
slasticarnica,RUNTIME_ERROR,0,2.50%,0.050,0.00390625,,0,0,0,0,0
zastave,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
7krokods,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
zrinka,RUNTIME_ERROR,20,20.00%,0.000,0,,0,20,0,0,0
bojanje,MEMORY_LIMIT_EXCEEDED,0,6.67%,0.050,1.6953125,,0,0,0,0,0
mreza,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
vrsta,TIME_LIMIT_EXCEEDED,45,40.00%,1.200,124.97265625,,19,26,0,0,0
tramvaji,ACCEPTED,50,100.00%,0.060,0.00390625,,12,13,25,0,0
ekspert,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
lampice,TIME_LIMIT_EXCEEDED,0,2.38%,3.310,4.39453125,,0,0,0,0,0
prijateljice,RUNTIME_ERROR,0,9.33%,0.000,0,,0,0,0,0,0
kruhologija,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0
desniklik,ACCEPTED,50,100.00%,0.000,0,,5,15,30,0,0
cokolade,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
berilij,RUNTIME_ERROR,0,2.27%,0.170,9.8046875,,0,0,0,0,0
iksevi,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
neboderi,MEMORY_LIMIT_EXCEEDED,33,38.89%,0.460,539.87109375,,11,22,0,0,0
TOTAL,,380,25.81%,,,12.00%,,,,,
