problem,model,status,score,relative_score,%test passed,time,memory
2024-sp_Fish_3,gpt-oss-20b-high,ACCEPTED,100,100.00%,100.00%,0.460,54.31640625
2024-sp_Ski_2,gpt-oss-20b-high,RUNTIME_ERROR,0,0.00%,0.85%,0.190,0.00390625
2024-sp_Spy_3,gpt-oss-20b-high,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Board_Game,gpt-oss-20b-high,RUNTIME_ERROR,10,10.00%,24.02%,0.180,5.41015625
2024-sp_Tricolor_Lights,gpt-oss-20b-high,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Growing_Vegetables_is_Fun_5,gpt-oss-20b-high,TIME_LIMIT_EXCEEDED,30,30.00%,76.69%,5.780,15.14453125
2024-sp_Card_Collection,gpt-oss-20b-high,RUNTIME_ERROR,0,0.00%,3.10%,0.150,0
2024-sp_JOI_Tour,gpt-oss-20b-high,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Tower,gpt-oss-20b-high,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Escape_Route_2,gpt-oss-20b-high,MEMORY_LIMIT_EXCEEDED,54,54.00%,70.53%,0.430,101.6796875
2024-sp_Island_Hopping,gpt-oss-20b-high,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Table_Tennis,gpt-oss-20b-high,UNKNOWN,0,0.00%,0.00%,0.000,0
