problem,model,status,score,relative_score,%test passed,time,memory
2024-sp_Fish_3,Qwen3-8B-Non-Thinking,TIME_LIMIT_EXCEEDED,0,0.00%,9.21%,2.410,8.31640625
2024-sp_Ski_2,Qwen3-8B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Board_Game,Qwen3-8B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Tricolor_Lights,Qwen3-8B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Growing_Vegetables_is_Fun_5,Qwen3-8B-Non-Thinking,TIME_LIMIT_EXCEEDED,30,30.00%,76.69%,5.980,32.8671875
2024-sp_Card_Collection,Qwen3-8B-Non-Thinking,RUNTIME_ERROR,0,0.00%,6.06%,0.000,0
2024-sp_JOI_Tour,Qwen3-8B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Tower,Qwen3-8B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Escape_Route_2,Qwen3-8B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Island_Hopping,Qwen3-8B-Non-Thinking,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Table_Tennis,Qwen3-8B-Non-Thinking,RUNTIME_ERROR,0,0.00%,11.06%,0.240,96.94921875
