problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,TIME_LIMIT_EXCEEDED,62,62.00%,77.78%,0.840,100.55078125,,5,19,19,19,0,0,0,0,0,0
game,RUNTIME_ERROR,0,0.00%,10.81%,0.300,16.04296875,,0,0,0,0,0,0,0,0,0,0
lexgcd,RUNTIME_ERROR,0,0.00%,8.20%,0.110,6.16015625,,0,0,0,0,0,0,0,0,0,0
ones,WRONG_ANSWER,25,25.00%,0.00%,0.130,1.94921875,,4.70929,4.06906,3.35974,2.8991499999999997,2.49801,2.0357600000000002,1.72931,1.45111,1.1148099999999999,0.87959
travel,RUNTIME_ERROR,0,0.00%,4.76%,0.370,72.0625,,0,0,0,0,0,0,0,0,0,0
aquarelle,TIME_LIMIT_EXCEEDED,89,89.00%,96.20%,0.440,76.57421875,,0,11,18,24,36,0,0,0,0,0
parentheses,ACCEPTED,100,100.00%,100.00%,0.100,7.40234375,,0,5,10,10,15,15,45,0,0,0
tolls,ACCEPTED,100,100.00%,100.00%,0.070,12.234375,,0,5,5,10,20,10,20,30,0,0
twins,RUNTIME_ERROR,0,0.00%,0.00%,0.030,1.546875,,0,0,0,0,0,0,0,0,0,0
walk,RUNTIME_ERROR,0,0.00%,0.00%,0.030,0.00390625,,0,0,0,0,0,0,0,0,0,0
xy,RUNTIME_ERROR,0,0.00%,0.00%,0.040,4.13671875,,0,0,0,0,0,0,0,0,0,0
TOTAL,,376,,36.16%,,,18.18%,,,,,,,,,,
