problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,TIME_LIMIT_EXCEEDED,5,5.00%,16.36%,0.910,6.25390625,,5,0,0,0,0,0,0,0,0,0
game,RUNTIME_ERROR,0,0.00%,2.70%,0.170,5.109375,,0,0,0,0,0,0,0,0,0,0
lexgcd,RUNTIME_ERROR,0,0.00%,5.74%,0.200,2.88671875,,0,0,0,0,0,0,0,0,0,0
ones,WRONG_ANSWER,25,25.00%,0.00%,0.200,1.953125,,4.72823,4.07686,3.3626899999999997,2.89704,2.49904,2.03989,1.73442,1.4582600000000001,1.1255,0.8935700000000001
travel,TIME_LIMIT_EXCEEDED,20,20.00%,29.41%,1.210,333.36328125,,10,10,0,0,0,0,0,0,0,0
aquarelle,RUNTIME_ERROR,0,0.00%,20.62%,0.090,0,,0,0,0,0,0,0,0,0,0,0
parentheses,ACCEPTED,100,100.00%,100.00%,0.250,15.5859375,,0,5,10,10,15,15,45,0,0,0
tolls,ACCEPTED,100,100.00%,100.00%,0.160,6.58984375,,0,5,5,10,20,10,20,30,0,0
twins,RUNTIME_ERROR,0,0.00%,0.00%,0.090,1.65234375,,0,0,0,0,0,0,0,0,0,0
walk,RUNTIME_ERROR,0,0.00%,0.00%,0.090,1.7578125,,0,0,0,0,0,0,0,0,0,0
xy,RUNTIME_ERROR,0,0.00%,2.86%,0.110,2.58984375,,0,0,0,0,0,0,0,0,0,0
TOTAL,,250,,25.24%,,,18.18%,,,,,,,,,,
