problem_id,model,solution_file,status,score,tests_passed,execution_time,memory_usage
APIO-2023-contest-abc,Qwen2.5-Coder-32B-Instruct,abc_Qwen2.5-Coder-32B-Instruct_0.cpp,RUNTIME_ERROR,0,0.00%,0.010,5.44921875
APIO-2023-contest-abc,Qwen2.5-Coder-32B-Instruct,abc_Qwen2.5-Coder-32B-Instruct_1.cpp,RUNTIME_ERROR,0,0.00%,0.020,5.1328125
APIO-2023-contest-abc,Qwen2.5-Coder-32B-Instruct,abc_Qwen2.5-Coder-32B-Instruct_2.cpp,RUNTIME_ERROR,0,0.00%,0.020,5.3671875
APIO-2023-contest-abc,Qwen2.5-Coder-32B-Instruct,abc_Qwen2.5-Coder-32B-Instruct_3.cpp,RUNTIME_ERROR,0,0.00%,0.020,5.33984375
APIO-2023-contest-abc,Qwen2.5-Coder-32B-Instruct,abc_Qwen2.5-Coder-32B-Instruct_4.cpp,RUNTIME_ERROR,0,0.00%,0.010,5.3359375
APIO-2023-contest-abc,Qwen2.5-Coder-32B-Instruct,abc_Qwen2.5-Coder-32B-Instruct_5.cpp,RUNTIME_ERROR,0,0.00%,0.020,5.1328125
APIO-2023-contest-abc,Qwen2.5-Coder-32B-Instruct,abc_Qwen2.5-Coder-32B-Instruct_6.cpp,RUNTIME_ERROR,0,0.00%,0.020,5.453125
APIO-2023-contest-abc,Qwen2.5-Coder-32B-Instruct,abc_Qwen2.5-Coder-32B-Instruct_7.cpp,RUNTIME_ERROR,0,0.00%,0.010,5.3359375
APIO-2023-contest-cyberland,Qwen2.5-Coder-32B-Instruct,cyberland_Qwen2.5-Coder-32B-Instruct_0.cpp,TIME_LIMIT_EXCEEDED,15,20.73%,2.980,2445.625
APIO-2023-contest-cyberland,Qwen2.5-Coder-32B-Instruct,cyberland_Qwen2.5-Coder-32B-Instruct_1.cpp,TIME_LIMIT_EXCEEDED,15,20.73%,3.000,519.02734375
APIO-2023-contest-cyberland,Qwen2.5-Coder-32B-Instruct,cyberland_Qwen2.5-Coder-32B-Instruct_2.cpp,TIME_LIMIT_EXCEEDED,0,1.22%,3.010,595.109375
APIO-2023-contest-cyberland,Qwen2.5-Coder-32B-Instruct,cyberland_Qwen2.5-Coder-32B-Instruct_3.cpp,MEMORY_LIMIT_EXCEEDED,15,19.51%,0.800,2436.07421875
APIO-2023-contest-cyberland,Qwen2.5-Coder-32B-Instruct,cyberland_Qwen2.5-Coder-32B-Instruct_4.cpp,TIME_LIMIT_EXCEEDED,15,20.73%,2.990,2442.26171875
APIO-2023-contest-cyberland,Qwen2.5-Coder-32B-Instruct,cyberland_Qwen2.5-Coder-32B-Instruct_5.cpp,TIME_LIMIT_EXCEEDED,15,20.73%,2.980,2456.44140625
APIO-2023-contest-cyberland,Qwen2.5-Coder-32B-Instruct,cyberland_Qwen2.5-Coder-32B-Instruct_6.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2023-contest-cyberland,Qwen2.5-Coder-32B-Instruct,cyberland_Qwen2.5-Coder-32B-Instruct_7.cpp,MEMORY_LIMIT_EXCEEDED,15,20.73%,0.830,2450.9453125
APIO-2023-contest-sequence,Qwen2.5-Coder-32B-Instruct,sequence_Qwen2.5-Coder-32B-Instruct_0.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,1.800,4.65625
APIO-2023-contest-sequence,Qwen2.5-Coder-32B-Instruct,sequence_Qwen2.5-Coder-32B-Instruct_1.cpp,TIME_LIMIT_EXCEEDED,0,18.48%,1.810,8.77734375
APIO-2023-contest-sequence,Qwen2.5-Coder-32B-Instruct,sequence_Qwen2.5-Coder-32B-Instruct_2.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2023-contest-sequence,Qwen2.5-Coder-32B-Instruct,sequence_Qwen2.5-Coder-32B-Instruct_3.cpp,TIME_LIMIT_EXCEEDED,11,44.92%,1.810,5.671875
APIO-2023-contest-sequence,Qwen2.5-Coder-32B-Instruct,sequence_Qwen2.5-Coder-32B-Instruct_4.cpp,TIME_LIMIT_EXCEEDED,11,44.92%,1.800,7.23046875
APIO-2023-contest-sequence,Qwen2.5-Coder-32B-Instruct,sequence_Qwen2.5-Coder-32B-Instruct_5.cpp,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.030,4.65625
APIO-2023-contest-sequence,Qwen2.5-Coder-32B-Instruct,sequence_Qwen2.5-Coder-32B-Instruct_6.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,1.800,88.50390625
APIO-2023-contest-sequence,Qwen2.5-Coder-32B-Instruct,sequence_Qwen2.5-Coder-32B-Instruct_7.cpp,TIME_LIMIT_EXCEEDED,11,44.92%,1.810,7.234375
APIO-2024-contest-september,Qwen2.5-Coder-32B-Instruct,september_Qwen2.5-Coder-32B-Instruct_0.cpp,RUNTIME_ERROR,0,0.00%,0.260,14.328125
APIO-2024-contest-september,Qwen2.5-Coder-32B-Instruct,september_Qwen2.5-Coder-32B-Instruct_1.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2024-contest-september,Qwen2.5-Coder-32B-Instruct,september_Qwen2.5-Coder-32B-Instruct_2.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2024-contest-september,Qwen2.5-Coder-32B-Instruct,september_Qwen2.5-Coder-32B-Instruct_3.cpp,RUNTIME_ERROR,0,0.00%,0.980,13.16015625
APIO-2024-contest-september,Qwen2.5-Coder-32B-Instruct,september_Qwen2.5-Coder-32B-Instruct_4.cpp,RUNTIME_ERROR,0,0.00%,0.260,6.8984375
APIO-2024-contest-september,Qwen2.5-Coder-32B-Instruct,september_Qwen2.5-Coder-32B-Instruct_5.cpp,RUNTIME_ERROR,0,0.00%,0.730,13.0
APIO-2024-contest-september,Qwen2.5-Coder-32B-Instruct,september_Qwen2.5-Coder-32B-Instruct_6.cpp,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.130,0.00390625
APIO-2024-contest-september,Qwen2.5-Coder-32B-Instruct,september_Qwen2.5-Coder-32B-Instruct_7.cpp,RUNTIME_ERROR,0,0.00%,0.130,1.51953125
APIO-2024-contest-show,Qwen2.5-Coder-32B-Instruct,show_Qwen2.5-Coder-32B-Instruct_0.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2024-contest-show,Qwen2.5-Coder-32B-Instruct,show_Qwen2.5-Coder-32B-Instruct_1.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2024-contest-show,Qwen2.5-Coder-32B-Instruct,show_Qwen2.5-Coder-32B-Instruct_2.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2024-contest-show,Qwen2.5-Coder-32B-Instruct,show_Qwen2.5-Coder-32B-Instruct_3.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2024-contest-show,Qwen2.5-Coder-32B-Instruct,show_Qwen2.5-Coder-32B-Instruct_4.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2024-contest-show,Qwen2.5-Coder-32B-Instruct,show_Qwen2.5-Coder-32B-Instruct_5.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2024-contest-show,Qwen2.5-Coder-32B-Instruct,show_Qwen2.5-Coder-32B-Instruct_6.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2024-contest-show,Qwen2.5-Coder-32B-Instruct,show_Qwen2.5-Coder-32B-Instruct_7.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2024-contest-train,Qwen2.5-Coder-32B-Instruct,train_Qwen2.5-Coder-32B-Instruct_0.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2024-contest-train,Qwen2.5-Coder-32B-Instruct,train_Qwen2.5-Coder-32B-Instruct_1.cpp,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.540,1122.98828125
APIO-2024-contest-train,Qwen2.5-Coder-32B-Instruct,train_Qwen2.5-Coder-32B-Instruct_2.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2024-contest-train,Qwen2.5-Coder-32B-Instruct,train_Qwen2.5-Coder-32B-Instruct_3.cpp,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.190,13.12109375
APIO-2024-contest-train,Qwen2.5-Coder-32B-Instruct,train_Qwen2.5-Coder-32B-Instruct_4.cpp,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.580,1106.24609375
APIO-2024-contest-train,Qwen2.5-Coder-32B-Instruct,train_Qwen2.5-Coder-32B-Instruct_5.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2024-contest-train,Qwen2.5-Coder-32B-Instruct,train_Qwen2.5-Coder-32B-Instruct_6.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
APIO-2024-contest-train,Qwen2.5-Coder-32B-Instruct,train_Qwen2.5-Coder-32B-Instruct_7.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
BOI-2023-contest-astronomer,Qwen2.5-Coder-32B-Instruct,astronomer_Qwen2.5-Coder-32B-Instruct_0.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,5.510,0.00390625
BOI-2023-contest-astronomer,Qwen2.5-Coder-32B-Instruct,astronomer_Qwen2.5-Coder-32B-Instruct_1.cpp,RUNTIME_ERROR,0,0.00%,0.020,0.00390625
BOI-2023-contest-astronomer,Qwen2.5-Coder-32B-Instruct,astronomer_Qwen2.5-Coder-32B-Instruct_2.cpp,RUNTIME_ERROR,0,0.00%,0.020,0.00390625
BOI-2023-contest-astronomer,Qwen2.5-Coder-32B-Instruct,astronomer_Qwen2.5-Coder-32B-Instruct_3.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,5.510,0.00390625
BOI-2023-contest-astronomer,Qwen2.5-Coder-32B-Instruct,astronomer_Qwen2.5-Coder-32B-Instruct_4.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,5.520,0.00390625
BOI-2023-contest-astronomer,Qwen2.5-Coder-32B-Instruct,astronomer_Qwen2.5-Coder-32B-Instruct_5.cpp,RUNTIME_ERROR,0,12.66%,0.020,0.00390625
BOI-2023-contest-astronomer,Qwen2.5-Coder-32B-Instruct,astronomer_Qwen2.5-Coder-32B-Instruct_6.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,5.520,0.00390625
BOI-2023-contest-astronomer,Qwen2.5-Coder-32B-Instruct,astronomer_Qwen2.5-Coder-32B-Instruct_7.cpp,RUNTIME_ERROR,0,0.00%,0.030,0.00390625
BOI-2023-contest-minequake,Qwen2.5-Coder-32B-Instruct,minequake_Qwen2.5-Coder-32B-Instruct_0.cpp,RUNTIME_ERROR,0,0.00%,0.020,0
BOI-2023-contest-minequake,Qwen2.5-Coder-32B-Instruct,minequake_Qwen2.5-Coder-32B-Instruct_1.cpp,RUNTIME_ERROR,0,0.00%,0.000,0
BOI-2023-contest-minequake,Qwen2.5-Coder-32B-Instruct,minequake_Qwen2.5-Coder-32B-Instruct_2.cpp,RUNTIME_ERROR,0,0.00%,0.000,0
BOI-2023-contest-minequake,Qwen2.5-Coder-32B-Instruct,minequake_Qwen2.5-Coder-32B-Instruct_3.cpp,RUNTIME_ERROR,0,0.00%,0.000,0
BOI-2023-contest-minequake,Qwen2.5-Coder-32B-Instruct,minequake_Qwen2.5-Coder-32B-Instruct_4.cpp,RUNTIME_ERROR,0,19.21%,0.050,7.02734375
BOI-2023-contest-minequake,Qwen2.5-Coder-32B-Instruct,minequake_Qwen2.5-Coder-32B-Instruct_5.cpp,RUNTIME_ERROR,0,0.00%,0.020,3.30859375
BOI-2023-contest-minequake,Qwen2.5-Coder-32B-Instruct,minequake_Qwen2.5-Coder-32B-Instruct_6.cpp,RUNTIME_ERROR,0,0.00%,0.000,0
BOI-2023-contest-minequake,Qwen2.5-Coder-32B-Instruct,minequake_Qwen2.5-Coder-32B-Instruct_7.cpp,RUNTIME_ERROR,0,0.00%,0.000,0
BOI-2023-contest-mineraldeposits,Qwen2.5-Coder-32B-Instruct,mineraldeposits_Qwen2.5-Coder-32B-Instruct_0.cpp,RUNTIME_ERROR,0,0.00%,0.020,0
BOI-2023-contest-mineraldeposits,Qwen2.5-Coder-32B-Instruct,mineraldeposits_Qwen2.5-Coder-32B-Instruct_1.cpp,RUNTIME_ERROR,0,0.00%,0.030,1.4765625
BOI-2023-contest-mineraldeposits,Qwen2.5-Coder-32B-Instruct,mineraldeposits_Qwen2.5-Coder-32B-Instruct_2.cpp,RUNTIME_ERROR,0,0.00%,0.020,1.484375
BOI-2023-contest-mineraldeposits,Qwen2.5-Coder-32B-Instruct,mineraldeposits_Qwen2.5-Coder-32B-Instruct_3.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
BOI-2023-contest-mineraldeposits,Qwen2.5-Coder-32B-Instruct,mineraldeposits_Qwen2.5-Coder-32B-Instruct_4.cpp,RUNTIME_ERROR,0,0.00%,0.020,1.48046875
